Date,Open,High,Low,Close,Volume,Market Cap
Oct-10-2016,544.8080347201869,565.1271949859572,544.3732402485898,564.6272693586957,76661838.3191098,8869969299.34416
Oct-09-2016,542.8347367337077,546.8535050683481,542.3462530662251,544.6249633637249,46351981.11176927,8657139581.832804
Oct-08-2016,544.90837190594,544.9875854736399,542.7071148746357,542.7071148746357,30792101.57115711,8650582923.852922
Oct-07-2016,543.1595123612772,545.5605636133357,543.1595123612772,544.8740460266034,46603196.0009666,8664994329.479618
Oct-06-2016,539.5508942771718,543.855711606284,538.4947133745068,543.0530141202585,52203003.37919928,8608540411.041895
Oct-05-2016,539.1020173935391,540.253254577444,538.1849003097251,539.559695784694,55454504.775355704,8576159057.703059
Oct-04-2016,537.0715096081657,540.2488538236829,536.5548611166121,539.124901313097,51646846.71079351,8562722479.774711
Oct-03-2016,538.7693204091997,538.7693204091997,536.4334003128056,537.0363035780769,41054209.54898367,8542643684.627777
Oct-02-2016,537.6770533256937,539.1521859864157,537.2924274469732,538.7138709118099,34470198.694521286,8562944009.231297
Oct-01-2016,540.3975993008082,540.4169626173571,536.6120709155064,537.7140196572868,38901374.49964652,8562447572.388443
Sep-30-2016,536.6587189053741,541.5013083440931,536.6587189053741,540.3817565872683,50257876.22459531,8578908845.731274
Sep-29-2016,533.1011495648975,536.6015091064797,531.736035748203,536.6015091064797,46380710.16469206,8476197049.911488
Sep-28-2016,532.2518040890043,534.0966000656592,532.2518040890043,533.0184153941888,44449991.533438735,8476461426.505006
Sep-27-2016,533.517460870698,533.8906447896396,532.1453058479856,532.3125344909076,42496264.98248842,8469013927.062154
Sep-26-2016,535.1695038326164,535.3499347368218,531.7078709241318,533.493696800388,45276538.65892129,8481451843.07468
Sep-25-2016,528.8174558538386,535.2575189078385,528.3976239450293,535.2575189078385,39735659.92383175,8455330732.4141245
Sep-24-2016,530.400847057084,531.0662410257629,527.8360877651124,528.846500828662,27951495.08763417,8417094349.056847
Sep-23-2016,530.5918397703158,532.1215417776757,529.8903596207958,530.3515586149596,37181377.787498556,8436505020.489178
Sep-22-2016,524.8321332477827,530.911334493372,524.3814960626455,530.608562634608,51477188.134734936,8380514294.64068
Sep-21-2016,525.5811415379226,526.7587832443941,524.7573204338439,524.7881257101717,58034423.74721053,8355071549.487752
Sep-20-2016,535.4062643849638,535.4062643849638,524.4668706856111,525.5168905330105,72953159.61162272,8290799410.936302
Sep-19-2016,536.2116023232459,536.4738872474077,535.0770880036332,536.096302574705,55347259.87867202,8509524960.253206
Sep-18-2016,536.7810598599328,537.7122593557825,535.3692980533706,536.2019206649715,44083149.28403159,8516745768.972653
Sep-17-2016,533.3572734337938,537.0310226735635,533.2446141375094,536.8101048347561,33129373.371293258,8500745120.796448
Sep-16-2016,534.2277425277401,535.0084362449601,532.6601940380349,533.4910563481312,44897890.471791126,8479021069.443785
Sep-15-2016,534.3879299646443,536.2415274488214,534.0182666487116,534.2215814724746,55536900.346354045,8492416316.449771
Sep-14-2016,537.4939819692316,537.8478025716245,534.4785854921231,534.4785854921231,42828778.907695755,8511384019.339956
Sep-13-2016,536.223924433777,538.6100131230477,535.4925191586815,537.5555925218872,56667009.00863633,8515038236.319343
Sep-12-2016,535.3455339830607,537.9419787021121,534.1854952916335,536.0831003134217,69234535.00683542,8495530447.760151
Sep-11-2016,534.0041842366761,535.5356465455403,532.8529470527711,535.1721442848732,74300550.0037602,8479570929.543259
Sep-10-2016,548.781915366464,553.4546357100044,528.535807613128,533.836955593754,41324203.37066444,8656491606.686752
Sep-09-2016,548.2115776790248,550.1778344594862,547.8014274284899,548.8276832055794,47749702.985794075,8704897979.639315
Sep-08-2016,551.2524985279479,551.7048960145894,545.9249460247552,548.2643867241582,68627673.51656103,8696159423.522663
Sep-07-2016,540.8913638728042,553.4123884738977,540.2752583462496,551.3554761659577,68208203.33995695,8681227074.55104
Sep-06-2016,537.275704582681,540.8922440235564,535.5831746861603,540.8922440235564,66485654.190627545,8532927312.745217
Sep-05-2016,533.8906447896396,537.6224839790559,532.5712988120605,537.240498552592,66777925.41537283,8480838830.001571
Sep-04-2016,535.689672927179,536.0602163938639,530.0637493189834,533.8439967997718,76309372.15815213,8456331866.023872
Sep-03-2016,526.5167417875333,538.5087957865424,525.3162161615041,535.5550098620892,121255303.8862274,8425344344.899078
Sep-02-2016,506.55932348092585,527.6503759563938,505.2558202168868,526.2579774663805,103118649.50723533,8071707914.217252
Sep-01-2016,503.7129159482436,506.65261946066124,502.3997310259301,506.5619639331824,61936147.617808424,7996012940.134142
Aug-31-2016,506.50211368203145,507.2405601631448,503.2825222304076,503.6926724809425,71114622.48476142,7997139688.992682
Aug-30-2016,508.289699859792,508.60479382908704,504.8914378054674,506.37625212446386,62625543.419743605,8018439230.908507
Aug-29-2016,505.30070790524996,509.0413486021886,505.30070790524996,508.1735199604988,75506612.85627371,8043119464.523112
Aug-28-2016,505.129078508567,507.21151518832147,504.73565112232427,505.27958428719666,89679817.41468234,8017141619.066215
Aug-27-2016,501.63928077601133,505.2399775033468,501.4570895703016,505.11587624728367,57470610.78843807,7973571524.8451
Aug-26-2016,510.1802636755623,510.35101292149324,500.48012223533647,501.8302734892432,34019472.48590941,8000917677.232052
Aug-25-2016,508.5167787538649,511.03577020672105,507.7220026246095,510.1204134244113,88265642.18100461,8066947019.271188
Aug-24-2016,510.6476237249916,510.88438427733905,506.2336677026041,508.57574885426374,59822536.250162765,8033943578.38685
Aug-23-2016,513.4931511069216,513.6471774885603,510.35981442901544,510.59217422760173,62652835.793099254,8102479757.936318
Aug-22-2016,516.4310943178348,518.8259845146277,511.92560261721627,513.630454624268,74385704.68593763,8150156558.9177265
Aug-21-2016,511.63867347199226,517.9229498428491,511.01024583490664,516.5067872825258,38777302.083993256,8131693385.408402
Aug-20-2016,511.9810521146062,514.1471031158217,510.67930915207154,511.7346099039844,33511073.359978434,8107558793.7715845
Aug-19-2016,506.64117750088235,512.9677011078458,506.48891142074814,511.9977749788984,43209213.79721611,8068999096.9518795
Aug-18-2016,505.4864197139686,508.93661066267435,505.3667192116666,506.71511016406896,45362660.49426723,8019697650.89009
Aug-17-2016,504.51649358502124,508.54406342718386,504.51649358502124,505.3693596639232,50143541.891410716,8015068028.181135
Aug-16-2016,508.2333702116498,511.27429106057286,502.9445443415548,504.64323529334104,48303647.25425727,8024530165.989752
Aug-15-2016,499.2567126897495,512.0171382954472,498.7955136955858,508.1550367947022,50459759.31900473,7973882096.87091
Aug-14-2016,502.10224007167943,504.83686845882966,495.73610968086615,499.1440533934652,50883465.069897175,7930723737.1842575
Aug-13-2016,515.4057186914974,515.4743704501708,497.0924219900384,502.02830740849294,41597915.58542591,8034577355.407563
Aug-12-2016,517.1404958241247,519.090029740294,514.869706883395,515.367872209152,46316476.60892059,8170951431.879356
Aug-11-2016,518.5144111483415,519.2097302425959,513.841690804801,517.2073872812936,61148214.35504362,8169923550.5868435
Aug-10-2016,521.1399008422162,525.9270407835454,518.5619392889614,518.7256473288745,85922513.44699208,8255154570.617523
Aug-09-2016,517.3534923061623,528.0763689204688,516.0948767304864,520.9110616466388,80191946.33212332,8232250494.918404
Aug-08-2016,520.2166227031365,520.2491882809687,514.7059988434819,517.5506460746597,64817602.72554536,8183472878.174724
Aug-07-2016,521.6565493337699,521.924115162445,517.5700093912086,520.1453304922067,61624407.08400091,8216669704.87128
Aug-06-2016,517.3332488388611,525.901516411731,516.4865438152246,521.605500590141,69942486.6102177,8213222678.458869
Aug-05-2016,506.12452900932874,517.8771820037335,501.2185687164498,517.32092672833,61021084.10940472,8008996802.395985
Aug-04-2016,508.98149835103754,508.98149835103754,501.670086052339,506.2943981045073,84295002.85364433,7980459281.925593
Aug-03-2016,498.47777927403405,510.04384030896813,497.96905213925044,508.96917624050644,141241030.65261906,7970662948.976395
Aug-02-2016,481.8517315645824,504.64323529334104,476.64299941293945,498.54026997744177,285725850.7903901,7771581246.050384
Aug-01-2016,533.6107568504334,539.3986281970375,467.65401978050795,478.75096046450835,173280755.7647812,8283367823.22494
Jul-31-2016,549.8134520480668,551.0791088297603,533.2692583585716,533.3440711725104,97540187.79834868,8625319215.83656
Jul-30-2016,576.5401097900049,576.7495856690333,549.535324410365,550.1285460173618,63848451.962852195,8844370410.70456
Jul-29-2016,578.2520030030744,579.3354685790582,575.8025434596437,576.5515517497837,41223454.87181734,9117376822.213715
Jul-28-2016,576.5295479809781,578.9596442078599,576.3103904436751,578.2044748624544,65656932.66387111,9113171121.397701
Jul-27-2016,575.9284050172113,578.7827339066636,575.9284050172113,576.5990798904037,97584314.71364638,9108215630.57111
Jul-26-2016,573.6681778855083,578.6603929521049,570.7311148253473,575.8940791378748,179313228.88095385,9070352031.093119
Jul-25-2016,575.703966575395,577.576927376121,568.4708876936442,573.9665489905111,116023736.93590629,9059549088.949108
Jul-24-2016,582.0304901823584,582.5084120408143,575.086100747336,575.5745844148186,87696881.7774664,9117399229.943521
Jul-23-2016,576.9881065228852,583.6367653051615,574.556249994499,581.9627185744374,70711336.79887803,9121411304.88296
Jul-22-2016,572.6428022591709,577.7010286321841,570.7988864332683,577.0373949650095,104873095.70912923,9078274983.284742
Jul-21-2016,585.3108120358854,586.6935288676244,569.2128547777663,572.5565474854533,73446690.39357506,9162323195.813246
